@relation kpi_negocio

@attribute negocio {Sam´s Club, Superama, Walmart,eCommerce}
@attribute kpi {Description,Header}
@attribute departamento {46,	92,	9,	15,	3,	32,	26,	12,	6,	49,	21,	58,	7,	1,	50,	47,	18,	10,	41,	4,	19,	36,	13,	5,	22,	16,	53,	2,	17,	31,	60,	40,	11,	54,	20,	28,	14,	8,	51}
@attribute resultado real

@data
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,91
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,96
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,85
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,84
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,90
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,96
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,99
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,100
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,92
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,84
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,98
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,100
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,86
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,100
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,97
Sam´s Club,Header,QUIMICOS Y ARTICULOS DE LIMPIE,90
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,88
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,88
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,82
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,93
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,91
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,98
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,96
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,88
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,77
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,86
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,93
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,89
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,86
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,90
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,96
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,96
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,88
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,84
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,86
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,80
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,94
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,98
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,89
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,64
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,76
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,90
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,100
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,73
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,87
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,81
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,95
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,86
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,80
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,99
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,73
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,67
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,87
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,69
Sam´s Club,Header,COSMETICOS SUBDIV: DPT02,100
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,97
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,77
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,94
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,62
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,71
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,57
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,89
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,83
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,92
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,61
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,80
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,88
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,70
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,86
Sam´s Club,Header,ROPA PARA DAMAS SUBDIV:DPT34,84
Sam´s Club,Header,PAPELERIA,93
Sam´s Club,Header,PAPELERIA,82
Sam´s Club,Header,PAPELERIA,82
Sam´s Club,Header,PAPELERIA,78
Sam´s Club,Header,PAPELERIA,84
Sam´s Club,Header,PAPELERIA,85
Sam´s Club,Header,PAPELERIA,85
Sam´s Club,Header,PAPELERIA,93
Sam´s Club,Header,PAPELERIA,78
Sam´s Club,Header,PAPELERIA,93
Sam´s Club,Header,PAPELERIA,84
Sam´s Club,Header,PAPELERIA,84
Sam´s Club,Header,PAPELERIA,79
Sam´s Club,Header,PAPELERIA,86
Sam´s Club,Header,PAPELERIA,69
Sam´s Club,Header,PAPELERIA,86
Sam´s Club,Header,PAPELERIA,88
Sam´s Club,Header,PAPELERIA,76
Sam´s Club,Header,PAPELERIA,92
Sam´s Club,Header,PAPELERIA,96
Sam´s Club,Header,PAPELERIA,59
Sam´s Club,Header,PAPELERIA,74
Sam´s Club,Header,PAPELERIA,69
Sam´s Club,Header,PAPELERIA,77
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,85
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,83
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,82
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,77
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,76
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,93
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,91
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,92
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,97
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,98
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,89
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,86
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,100
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,79
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,99
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,64
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,97
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,95
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,89
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,67
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,93
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,100
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,100
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,85
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,78
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,100
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,59
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,79
Sam´s Club,Header,LLANTAS SUBDIV:DPT10,89
Sam´s Club,Header,FARMACIA AUTOSERVICIO,66
Sam´s Club,Header,FARMACIA AUTOSERVICIO,82
Sam´s Club,Header,FARMACIA AUTOSERVICIO,87
Sam´s Club,Header,FARMACIA AUTOSERVICIO,93
Sam´s Club,Header,FARMACIA AUTOSERVICIO,90
Sam´s Club,Header,FARMACIA AUTOSERVICIO,76
Sam´s Club,Header,FARMACIA AUTOSERVICIO,88
Sam´s Club,Header,FARMACIA AUTOSERVICIO,96
Sam´s Club,Header,FARMACIA AUTOSERVICIO,91
Sam´s Club,Header,FARMACIA AUTOSERVICIO,77
Sam´s Club,Header,FARMACIA AUTOSERVICIO,90
Sam´s Club,Header,FARMACIA AUTOSERVICIO,92
Sam´s Club,Header,FARMACIA AUTOSERVICIO,95
Sam´s Club,Header,FARMACIA AUTOSERVICIO,87
Sam´s Club,Header,FARMACIA AUTOSERVICIO,93
Sam´s Club,Header,FARMACIA AUTOSERVICIO,91
Sam´s Club,Header,FARMACIA AUTOSERVICIO,100
Sam´s Club,Header,FARMACIA AUTOSERVICIO,62
Sam´s Club,Header,FARMACIA AUTOSERVICIO,69
Sam´s Club,Header,FARMACIA AUTOSERVICIO,80
Sam´s Club,Header,FARMACIA AUTOSERVICIO,69
Sam´s Club,Header,CIGARROS Y DULCES,78
Sam´s Club,Header,CIGARROS Y DULCES,83
Sam´s Club,Header,CIGARROS Y DULCES,84
Sam´s Club,Header,CIGARROS Y DULCES,82
Sam´s Club,Header,CIGARROS Y DULCES,73
Sam´s Club,Header,CIGARROS Y DULCES,93
Sam´s Club,Header,CIGARROS Y DULCES,91
Sam´s Club,Header,CIGARROS Y DULCES,79
Sam´s Club,Header,CIGARROS Y DULCES,82
Sam´s Club,Header,CIGARROS Y DULCES,75
Sam´s Club,Header,CIGARROS Y DULCES,78
Sam´s Club,Header,CIGARROS Y DULCES,100
Sam´s Club,Header,CIGARROS Y DULCES,54
Sam´s Club,Header,OPTICA,79
Sam´s Club,Header,OPTICA,85
Sam´s Club,Header,OPTICA,83
Sam´s Club,Header,OPTICA,73
Sam´s Club,Header,OPTICA,82
Sam´s Club,Header,OPTICA,80
Sam´s Club,Header,OPTICA,74
Sam´s Club,Header,OPTICA,99
Sam´s Club,Header,OPTICA,70
Sam´s Club,Header,OPTICA,84
Sam´s Club,Header,OPTICA,93
Sam´s Club,Header,OPTICA,80
Sam´s Club,Header,PAPELES DOMESTICOS,89
Sam´s Club,Header,PAPELES DOMESTICOS,98
Sam´s Club,Header,PAPELES DOMESTICOS,85
Sam´s Club,Header,PAPELES DOMESTICOS,95
Sam´s Club,Header,PAPELES DOMESTICOS,92
Sam´s Club,Header,PAPELES DOMESTICOS,89
Sam´s Club,Header,PAPELES DOMESTICOS,98
Sam´s Club,Header,PAPELES DOMESTICOS,78
Sam´s Club,Header,PAPELES DOMESTICOS,91
Sam´s Club,Header,PAPELES DOMESTICOS,100
Sam´s Club,Header,PAPELES DOMESTICOS,98
Sam´s Club,Header,PAPELES DOMESTICOS,82
Sam´s Club,Header,PAPELES DOMESTICOS,80
Sam´s Club,Header,PAPELES DOMESTICOS,85
Sam´s Club,Header,PAPELES DOMESTICOS,87
Sam´s Club,Header,PAPELES DOMESTICOS,96
Sam´s Club,Header,PAPELES DOMESTICOS,100
Sam´s Club,Header,ACCESORIOS PARA AUTOS,66
Sam´s Club,Header,ACCESORIOS PARA AUTOS,88
Sam´s Club,Header,ACCESORIOS PARA AUTOS,81
Sam´s Club,Header,ACCESORIOS PARA AUTOS,81
Sam´s Club,Header,ACCESORIOS PARA AUTOS,95
Sam´s Club,Header,ACCESORIOS PARA AUTOS,69
Sam´s Club,Header,ACCESORIOS PARA AUTOS,100
Sam´s Club,Header,ACCESORIOS PARA AUTOS,93
Sam´s Club,Header,ACCESORIOS PARA AUTOS,87
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,88
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,73
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,78
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,83
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,96
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,100
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,87
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,100
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,77
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,70
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,74
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,100
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,88
Sam´s Club,Header,TARJ/LIBROS/REV SUBDIV:DPT03,66
Sam´s Club,Header,MASCOTAS,97
Sam´s Club,Header,MASCOTAS,93
Sam´s Club,Header,MASCOTAS,86
Sam´s Club,Header,MASCOTAS,91
Sam´s Club,Header,MASCOTAS,100
Sam´s Club,Header,MASCOTAS,88
Sam´s Club,Header,MASCOTAS,94
Sam´s Club,Header,MASCOTAS,100
Sam´s Club,Header,MASCOTAS,100
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,100
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,98
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,96
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,98
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,93
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,82
Sam´s Club,Header,JOYERIA SUBDIV:DPT32,89
Sam´s Club,Header,CORTINAS Y PERSIANAS,80
Sam´s Club,Header,CORTINAS Y PERSIANAS,90
Sam´s Club,Header,CORTINAS Y PERSIANAS,90
Sam´s Club,Header,CORTINAS Y PERSIANAS,97
Sam´s Club,Header,CORTINAS Y PERSIANAS,99
Sam´s Club,Header,CORTINAS Y PERSIANAS,80
